6in4                                                          , v26
kmod-switch-ip17xx                                            , v5.4.128-1
kmod-switch-rtl8306                                           , v5.4.128-1
kmod-switch-rtl8366-smi                                       , v5.4.128-1
kmod-switch-rtl8366rb                                         , v5.4.128-1
kmod-switch-rtl8366s                                          , v5.4.128-1
kmod-switch-rtl8367b                                          , v5.4.128-1
kmod-tcp-bbr                                                  , v5.4.128-1
kmod-tcp-hybla                                                , v5.4.128-1
kmod-tg3                                                      , v5.4.128-1
kmod-tulip                                                    , v5.4.128-1
kmod-tun                                                      , v5.4.128-1
kmod-udptunnel4                                               , v5.4.128-1
kmod-udptunnel6                                               , v5.4.128-1
kmod-usb-acm                                                  , v5.4.128-1
kmod-usb-atm                                                  , v5.4.128-1
kmod-usb-atm-cxacru                                           , v5.4.128-1
kmod-usb-atm-speedtouch                                       , v5.4.128-1
kmod-usb-atm-ueagle                                           , v5.4.128-1
kmod-usb-audio                                                , v5.4.128-1
kmod-usb-cm109                                                , v5.4.128-1
kmod-usb-core                                                 , v5.4.128-1
kmod-usb-dwc2                                                 , v5.4.128-1
kmod-usb-dwc3                                                 , v5.4.128-1
kmod-usb-ehci                                                 , v5.4.128-1
kmod-usb-hid                                                  , v5.4.128-1
kmod-usb-hid-cp2112                                           , v5.4.128-1
kmod-usb-ledtrig-usbport                                      , v5.4.128-1
kmod-usb-net                                                  , v5.4.128-1
kmod-usb-net-aqc111                                           , v5.4.128-1
kmod-usb-net-asix                                             , v5.4.128-1
kmod-usb-net-asix-ax88179                                     , v5.4.128-1
kmod-usb-net-cdc-eem                                          , v5.4.128-1
kmod-usb-net-cdc-ether                                        , v5.4.128-1
kmod-usb-net-cdc-mbim                                         , v5.4.128-1
kmod-usb-net-cdc-ncm                                          , v5.4.128-1
kmod-usb-net-cdc-subset                                       , v5.4.128-1
kmod-usb-net-dm9601-ether                                     , v5.4.128-1
kmod-usb-net-hso                                              , v5.4.128-1
kmod-usb-net-huawei-cdc-ncm                                   , v5.4.128-1
kmod-usb-net-ipheth                                           , v5.4.128-1
kmod-usb-net-kalmia                                           , v5.4.128-1
kmod-usb-net-kaweth                                           , v5.4.128-1
kmod-usb-net-mcs7830                                          , v5.4.128-1
kmod-usb-net-pegasus                                          , v5.4.128-1
kmod-usb-net-pl                                               , v5.4.128-1
kmod-usb-net-qmi-wwan                                         , v5.4.128-1
kmod-usb-net-rndis                                            , v5.4.128-1
kmod-usb-net-rtl8150                                          , v5.4.128-1
kmod-usb-net-sierrawireless                                   , v5.4.128-1
kmod-usb-net-smsc95xx                                         , v5.4.128-1
kmod-usb-net-sr9700                                           , v5.4.128-1
kmod-usb-ohci                                                 , v5.4.128-1
kmod-usb-ohci-pci                                             , v5.4.128-1
kmod-usb-printer                                              , v5.4.128-1
kmod-usb-roles                                                , v5.4.128-1
kmod-usb-storage                                              , v5.4.128-1
kmod-usb-storage-extras                                       , v5.4.128-1
kmod-usb-storage-uas                                          , v5.4.128-1
kmod-usb-uhci                                                 , v5.4.128-1
kmod-usb-wdm                                                  , v5.4.128-1
kmod-usb-xhci-hcd                                             , v5.4.128-1
kmod-usb-yealink                                              , v5.4.128-1
kmod-usb2                                                     , v5.4.128-1
kmod-usb2-pci                                                 , v5.4.128-1
kmod-usb3                                                     , v5.4.128-1
kmod-usbip                                                    , v5.4.128-1
kmod-usbip-client                                             , v5.4.128-1
kmod-usbip-server                                             , v5.4.128-1
kmod-usbmon                                                   , v5.4.128-1
kmod-veth                                                     , v5.4.128-1
kmod-via-rhine                                                , v5.4.128-1
kmod-via-velocity                                             , v5.4.128-1
kmod-vmxnet3                                                  , v5.4.128-1
kmod-vxlan                                                    , v5.4.128-1
kmod-wireguard                                                , v5.4.128-1
lame-lib                                                      , v3.100-1
libaio                                                        , v0.3.112-2
libantlr3c                                                    , v3.4-1
libarchive                                                    , v3.5.3-3
libatomic1                                                    , v8.4.0-3
libattr                                                       , v2.5.1-1
libavahi-client                                               , v0.8-7
libavahi-dbus-support                                         , v0.8-7
libbfd                                                        , v2.35.2-1
libblkid1                                                     , v2.36.1-2
libblobmsg-json20210516                                       , v2021-05-16-b14c4688-2
libbpf0                                                       , v5.11.16-1
libbz2-1.0                                                    , v1.0.8-1
libc                                                          , v1.1.24-3
libcap                                                        , v2.48-1
libcap-bin                                                    , v2.48-1
libcares                                                      , v1.17.1-1
libcharset1                                                   , v1.16-1
libcomerr0                                                    , v1.45.6-2
libconfig11                                                   , v1.7.2-3
libcryptopp                                                   , v5.6.4-2
libcups-2.3                                                   , v2.3.0-2
libcurl4                                                      , v7.83.1-4.1
libdaemon                                                     , v0.14-5
libdb47                                                       , v4.7.25.4.NC-7
libdbus                                                       , v1.13.18-1
libdevmapper                                                  , v2.03.12-1
libedit                                                       , v20210419-3.1-1
libelf1                                                       , v0.180-2
libev                                                         , v4.31-1
libevdev                                                      , v1.11.0-1
libevent2-7                                                   , v2.1.12-1
libexif                                                       , v0.6.22-1
libexpat                                                      , v2.4.1-1
libext2fs2                                                    , v1.45.6-2
libf2fs6                                                      , v1.14.0-1
libfdisk1                                                     , v2.36.1-2
libffi                                                        , v3.3-2
libffmpeg-full                                                , v4.3.2-1
libflac                                                       , v1.3.3-1
libfreetype                                                   , v2.10.4-2
libfuse1                                                      , v2.9.9-1
libgcc1                                                       , v8.4.0-3
libgcrypt                                                     , v1.9.3-1
libgd-full                                                    , v2.3.2-1
libgdbm                                                       , v1.19-1
libgmp10                                                      , v6.2.1-1
libgnutls                                                     , v3.7.2-1
libgpg-error                                                  , v1.42-1
libhttp-parser                                                , v2.9.4-1
libiconv-full2                                                , v1.16-1
libid3tag                                                     , v0.15.1b-4
libip4tc2                                                     , v1.8.7-1
libip6tc2                                                     , v1.8.7-1
libipset13                                                    , v7.6-1
libiwinfo-lua                                                 , v2021-06-28-c9b1672f-3
libiwinfo20210430                                             , v2021-06-28-c9b1672f-3
libjpeg-turbo                                                 , v2.1.0-1
libjson-c5                                                    , v0.15-2
libjson-script20210516                                        , v2021-05-16-b14c4688-2
libkeyutils1                                                  , v1.6.3-1
libltdl7                                                      , v2.4.6-2
liblua5.1.5                                                   , v5.1.5-9
liblua5.3-5.3                                                 , v5.3.5-4
liblucihttp-lua                                               , v2021-06-11-3dc89af4-1
liblucihttp0                                                  , v2021-06-11-3dc89af4-1
liblzma                                                       , v5.2.5-3
liblzo2                                                       , v2.10-4
libmaxminddb                                                  , v1.6.0-1
libmbedtls12                                                  , v2.16.10-1
libminiupnpc                                                  , v2.2.2-1
libmnl0                                                       , v1.0.4-2
libmount1                                                     , v2.36.1-2
libnatpmp1                                                    , v20150609-3
libncurses6                                                   , v6.2-2
libnetfilter-conntrack3                                       , v1.0.8-1
libnetsnmp                                                    , v5.9-1
libnettle8                                                    , v3.6-1
libnfnetlink0                                                 , v1.0.1-4
libnftnl11                                                    , v1.1.8-1
libnghttp2-14                                                 , v1.43.0-1
libnl-core200                                                 , v3.5.0-1
libnl-genl200                                                 , v3.5.0-1
libnl-route200                                                , v3.5.0-1
libnl-tiny1                                                   , v2020-08-05-c291088f-2
libnss                                                        , v3.65-1
libogg0                                                       , v1.3.4-1
libopenssl-conf                                               , v1.1.1k-1
libopenssl1.1                                                 , v1.1.1k-1
libopenssl3                                                   , v3.0.8-4
libopus                                                       , v1.3.1-3
libpcap1                                                      , v1.10.0-1
libpci                                                        , v3.7.0-2
libpcre                                                       , v8.44-4
libpcre2                                                      , v10.36-1
libplist                                                      , v2.2.0-3
libpng                                                        , v1.6.37-11
libpopt0                                                      , v1.16-2
libprotobuf-c                                                 , v1.4.0-1
libpthread                                                    , v1.1.24-3
libpython3-3.9                                                , v3.9.5-2
libreadline8                                                  , v8.1-1
librt                                                         , v1.1.24-3
